Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/04,N,N,Y,N,N,N,N,Y,4.9.3 co 11350,,135,1203.2,11382,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/21/04,N,N,Y,N,N,Y,N,N,211 211,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/22/04,N,N,Y,N,N,N,N,N,488 496(a),,488,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/24/04,N,N,N,N,N,Y,N,N,415 148(a)(l),,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/24/04,N,N,Y,N,N,Y,N,N,647(f) 647(f),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
25/2004,N,N,N,N,N,Y,N,N,647(h) 647(h),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/1/04,N,N,N,N,N,N,N,Y,415 417(a)(l),,415(3),242,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/2/04,N,N,N,N,N,Y,N,N,417(a)(l) 417(a)(l),,1203.2,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/3/04,N,N,Y,N,N,N,N,N,415 243(b),,148(a)(l),12.1.3,,,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/5/04,N,N,Y,N,N,N,N,Y,594(b)(l),594(b)(l) 148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/5/04,N,N,Y,N,N,Y,N,N,273.5,273.5 664/187,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/6/04,N,N,Y,N,N,Y,N,N,5150,647(f),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
517/2004,N,N,Y,N,N,N,N,N,11532(a),11532(a) 182(a)(l),,148(a)(l),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/8/04,N,N,Y,N,N,N,N,N,415,647(f) 1203.2,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/8/04,N,N,Y,N,N,N,N,N,14601.l(a),14601.l(a) 148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/10/04,N,N,N,N,N,Y,N,N,415(1),415(1),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/10/04,N,N,Y,N,N,N,N,Y,11.6.2,11377(a),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/14/04,N,N,N,N,N,Y,N,N,415,148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/14/04,N,N,Y,N,N,N,N,Y,415,647(f) 11364,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/17/04,N,N,Y,N,N,Y,N,N,459,664/459 148(aX1),,3056,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/18/04,N,N,Y,N,N,N,N,Y,21202,2800(a) 148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/18/04,N,N,Y,N,N,N,N,N,5204,148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/20/04,N,N,Y,N,N,N,N,Y,23103,23152(a)(b) 23223(a),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/22/04,N,N,Y,N,N,N,N,N,242,242 148(a)(l),,,,,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/22/04,N,N,Y,N,N,N,N,N,warrant,148(a)(l),,,,,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/26/04,N,N,N,N,N,Y,N,N,330,330 11532(a),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/1/04,N,N,Y,N,N,Y,N,Y,27315,273(a) 11377(a),,148(aXl),2800.2,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/1/04,N,N,Y,N,N,N,N,N,459,459 148(a)(l),,485,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/2/04,N,N,Y,N,N,N,N,N,415,148(a)(l) 1203.2,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/25/04,N,N,N,N,N,Y,N,N,22350,1085l(a),496(a),2800.2(a),11377(a),,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/04,N,N,Y,N,N,N,N,N,911 hangup,11350 12316(b)(l),,11364,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
