Date,Baton,Gun,Hands,K9,OC,Taser,Sage,SNspect INjNred,Officer Injured
6/20/06,N,N,N,N,N,Y,N,Y,N
6/22/06,N,N,N,N,N,Y,N,Y,Y
6/23/06,N,N,Y,N,N,Y,N,Y,N
6/23/06,N,N,Y,N,N,N,N,N,Y
6/25/06,N,N,Y,N,N,N,N,Y,N
6/28/06,N,N,Y,N,N,N,N,N,N
6/28/06,N,N,Y,N,N,Y,N,Y,N
7/3/06,N,N,Y,N,N,Y,N,N,N
7/3/06,N,N,Y,N,N,N,N,N,N
7/4/06,N,N,Y,N, N,N,Y,N,Y
7/5/06,N,N,Y,N,N,N,N,N,N
7/5/06,N,N,Y,N,N,N,N,Y,N
7/6/06,N,N,N,Y,N,N,N,N,N
7/8/06,N,N,Y,N,N,N,N,N,N
7/10/06,N,N,Y,N,N,N,N,Y,N
7/11/06,N,N,Y,N,N,N,N,N,N
7/14/06,N,N,Y,N,N,N,N,N,N
7/14/06,N,N,Y,N,N,N,N,N,N
7/15/06,N,N,Y,N,N,Y, N,Y,N
7/19/06,N,N,N,N,Y,N,N,Y,N
7/20/06,N,N,Y,N,N,N,N,N,N
7/20/06,N,N,Y,N,N,N,N,N,N
7/22/06,N,N,Y,N,N,N,N,N,N
7/25/06,N,N,N,N, Y,N,N,Y,N
7/28/06,N,N,N,N,N,Y,N,Y,N
7/29/06,N,N,Y,N,N,N, N,Y,N
8/3/06,N,N,Y,N,N,N,N,N,N
8/4/06,N,N,N,N,N,Y,N,Y,N
8/6/06,N,N,N,N,N,N,Y,N,N
8/7/06,N,N,N,Y,N,N,Y,Y,Y
8/9/06,N,N,N,Y,N,N,N,Y,N
8/10/06,N,N,N,Y,N,N,Y,Y,N
8/15/06,N,N,N,N,N,N,Y,Y,N
8/15/06,N,N,Y,N,N,N,N,Y,N
8/17/06,N,N,Y,N,N,Y,N,N,N
8/18/06,N,N,N,N,N,Y,N,Y,N
8/19/06,N,N,Y,N,N,N,N,N,N
8/22/06,N,N,Y,N,N,N,N,N,N
8/24/06,N,N,Y,N,N,Y,N,Y,N
8/27/06,N,N,N,N,N,Y,N,Y,N
8/27/06,N,N,Y,N,N,Y,N,Y,N
8/29/06,N,N,Y,N,N,N,N,Y,N
8/31/06,Y,N,N,Y,N,Y,N,Y,N
9/3/06,N,N,N,N,N,Y,N,Y,N
9/4/06,N,N,N,N,N,Y,N,Y,N
9/9/06,N,N,Y,N,N,N,N,N,N
9/10/06,N,N,Y,N,N,N,N,N,N
9/14/06,N,N,Y,N,N,N,N,N,N
9/17/06,N,N,N,N,N,Y,N,Y,N
9/19/06,Y,N,Y,N,N,Y,N,Y,N
9/22/06,N,N,Y,N,N,Y,N,N,Y
9/24/06,N,N,Y,N,N,Y,N,Y,N
10/2/06,N,N,N,N,N,Y,N,N,N
10/3/06,N,N,Y,N,Y,Y,N,Y,N
10/6/06,N,N,Y,N,N,N,N,N,N
10/6/06,N,N,Y,N,N,Y,N,Y,N
10/7/06,N,N,Y,N,N,N,N,N,N
10/7/06,N,N,Y,N,N,N,N,N,N
10/7/06,N,N,Y,N,N,Y,N,Y,N
10/18/06,N,N,Y,N,N,N,N, N,Y
10/19/06,Y,N,N,N,N,N,N,N,Y
10/21/06,N,N, N, Y,N,N,N,Y,N
10/23/06,N,N,N,N,Y,N,Y,N,Y
10/26/06,N,N,Y,N,N,Y,N,Y,N
10/27/06,N,N,Y,N, N,N,N,N,Y
10/28/06,N,N,Y,Y, N, Y,N,Y,N
10/30/06,N,N, N,N,Y,N,N,N,Y
10/31/06,Y,N,N, N,N,N,N,Y,N
11/5/06,N,N, N,Y,N,N,N, N,N
11/6/06,N,N,Y,N,N, N,N, N,N
11/10/06,N,N,N,Y,N,N,N,N, N
11/12/06,N,N, N,N,Y,N,N,Y,N
11/12/06,Y,N, Y,N,N,Y,N,Y,N
11/12/06,Y,N, Y,N,N,Y,N,Y,N
11/14/06,N,N, N,N,Y,N,N,N,Y
11/15/06,N,N,Y,N,N,Y,N,Y,N
11/15/06,N,N,Y,N,N,N,N, N,Y
11/15/06,N,N,Y,N,N,N,N,N,N
11/17/06,N,N,Y,N,N,N,N,N,Y
11/18/06,N,N,N,N,N,Y,N,Y,N
11/18/06,N,N,Y,N,N,Y,N,Y,N
11/19/06,N,N,Y,N,N,N,N,N,Y
11/21/06,N,N,Y,N,N,N,N,N,Y
11/22/06,N,N,Y,N,N,Y,N,N,Y
11/23/06,N,N,Y,N,N,Y,N,N,Y
11/23/06,N,N,N,N,N,Y,N,N,N
11/23/06,N,N,Y,N,N,Y,N,N,Y
11/26/06,N,N,Y,N,N,N,N,N,Y
11/29/06,N,N,Y,N,N,Y,N,N,Y
12/2/06,N,N,Y,N,N,Y,N,N,Y
12/4/06,N,N,Y,N,N,N,N,N,Y
12/6/06,N,N,Y,N,N,Y,N,N,Y
12/6/06,N,N,Y,N,N,N,N,N,Y
12/8/06,N,N,Y,N, Y,N,Y,N,Y
12/13/06,N,N,N,N,N,Y, N,Y,N
12/14/06,N,N,N,N,N,Y,N,Y,Y
12/19/06,N,N,Y,N,N,N, Y,Y,N
12/22/06,N,N,Y, N,Y,N,N,N,N
1/1/07,N,N,Y,N,N,N,N,Y,N
1/1/07,N,N,Y,N,N,Y,N,Y,N
1/7/07,N,N,Y,N,N,Y,N,Y,N
1/9/07,N,N,Y,Y,N,Y,N,Y,N
1/15/07,N,N,Y,N,N,N,N,N,N
1/20/07,N,N,Y,Y,N,Y,N,Y,N
1/20/07,N,N,Y,N,N,N,N,N,N
1/26/07,N,N,N,N,N,Y,N,Y,N
1/28/07,N,N,Y,N,N,Y,N,Y,Y
1/29/07,N,N,N,N,N,Y,N,Y,N
1/31/07,N,N,N,Y,N,Y,N,Y,N
2/6/07,N,N,Y,N,N,Y,N,Y,N
2/7/07,N,N,N,N,N,Y,N,Y,N
2/9/07,N,N,Y,N,Y,N,N,Y,N
2/11/07,N,N,Y,N,N,N,N,Y,N
2/13/07,N,N,Y,N,N,N,N,N,N
2/14/07,N,N,Y,N,N,N,N,N,N
2/16/07,Y,N,N,N,N,N,N,Y,N
2/17/07,N,N,N,N,N,Y,N,Y,N
2/18/07,N,N,Y,N,N,N,N,Y,N
2/18/07,N,N,Y,N,N,N,N,Y,N
2/18/07,N,N,Y,N,N,Y,N,N,Y
2/22/07,N,N,Y,N,N,N,N,N,N
2/24/07,N,N,Y,N,N,Y,N,Y,N
2/24/07,Y,N,Y,N,N,Y,N,Y,N
2/24/07,N,N,Y,N,N,N,N,Y,N
3/1/07,N,N,Y,N,N,N,N,N,N
3/5/07,N,N,N,N,N,Y,N,Y,N
3/6/07,N,N,N,N,N,Y,N,Y,N
3/7/07,N,N,N,N,N,N,N,N,N
3/9/07,N,N,N,N,N,Y,N,Y,N
3/9/07,N,N,Y,N,N,N,N,N,Y
3/14/07,N,N,Y,N,N,N,N,Y,N
3/15/07,Y,N,Y,N,N,N,N,Y,Y
3/15/07,N,N,Y,N,N,Y,N,Y,Y
3/17/07,N,N,Y,N,N,N,N,N,Y
3/18/07,N,N,N,N,N,Y,N,N,Y
3/20/07,N,N,Y,N,N,Y,N,N,Y
3/21/07,N,N,N,N,N,N,Y,N,Y
3/21/07,Y,N,Y,N,N,Y,N,N,Y
3/23/07,N,N,Y,N,N,Y,N,Y,N
3/23/07,N,N,Y,N,N,N,N,N,N
3/29/07,N,N,N,Y,N,N,N,N,N
3/29/07,N,N,N,N,Y,N,N,Y,N
3/30/07,N,N,N,Y,N,N,N,Y,N
4/1/07,N,N,N,N,N,N,Y,Y,Y
4/1/07,N,N,N,Y,N,N,Y,Y,N
4/3/07,N,N,N,Y,N,N,N,N,N
4/4/07,Y,N,Y,N,N,Y,N,Y,N
4/4/07,N,N,N,N,N,Y,N,Y,N
4/4/07,N,N,N,Y,N,N,N,N,N
4/8/07,N,N,N,N,N,N,Y,Y,N
4/10/07,N,N,Y,N,N,Y,N,Y,N
4/11/07,N,N,N,N,N,N,Y,Y,N
4/13/07,N,N,N,Y,N,N,N,Y,N
4/13/07,N,N,Y,N,N,N,N,N,N
4/14/07,N,N,N,Y,N,Y,N,Y,N
4/14/07,Y,N,N,N,N,Y,N,Y,N
4/26/07,N,N,N,N,N,Y,N,Y,N
4/26/07,N,N,Y,N,N,N,N,N,N
4/28/07,N,N,N,Y,N,N,Y,Y,N
4/28/07,N,N,N,N,N,N,Y,Y,N
4/29/07,Y,N,Y,N,N,N,N,Y,N
5/3/07,N,N,Y,N,N,N,N,N,N
5/5/07,N,N,Y,N,N,N,N,Y,N
5/7/07,N,N,N,N,N,Y,N,Y,N
5/10/07,N,N,Y,N,N,N,N,N, Y
5/12/07,N,N,Y,N,N,N,N,Y,N
5/12/07,N,N,Y,N,N,Y,N,Y,N
5/13/07,N,N,Y,N,N,N,N,Y,N
5/13/07,N,N,Y,N,N,N,N,Y,N
5/14/07,N,N,Y,N,N,Y,N,Y,N
5/14/07,N,N,Y,N,N,Y,N,Y,N
5/21/07,N,N,N,N,N,Y,N,Y,N
5/22/07,N,N,Y,N,N,N,N,Y,N
5/23/07,N,N,N,N,N,Y,N,Y,N
5/24/07,N,N,Y,N,N,N,N,N,N
5/24/07,N,N,Y,N,N,Y,N,N,N
5/27/07,N,N,N,N,N,N,N,N,N
5/28/07,N,N,N,N,N,N,N,N,N
5/28/07,N,N,N,N,N,N,N,N,N
5/29/07,N,N,N,N,N,Y,N,N,N
5/31/07,N,N,N,N,N,N,N,N,N
5/31/07,N,N,Y,N,N,N,N,N,N
6/1/07,N,N,N,Y,N,N,N,N,N
6/5/07,N,N,N,Y,N,N,Y,Y,N
6/12/07,N,N,N,Y,N,N,N,Y,N
6/22/07,N,N,N,Y,N,N,N,Y,N
6/23/07,Y,N,Y,N,N,N,N,Y,N
6/25/07,Y,N,Y,N,N,N,N,Y,Y
6/27/07,N,N,N,Y,N,N,N,N,N
6/27/07,N,N,N,Y,N,N,N,N,N
6/29/07,Y,N,Y,N,N,N,N,Y,N
6/30/07,N,N,N,N,N,N,Y,Y,N
7/1/07,N,N,N,Y,N,N,N,N,N
7/7/07,N,N,N,N,N,N,N,N,N
7/10/07,N,N,N,Y,N,N,N,N,N
7/19/07,N,N,N,Y,N,N,Y,N,N
7/20/07,N,N,N,N,N,N,N,N,N
7/22/07,N,N,N,Y,N,N,N,N,N
7/25/07,N,N,Y,N,N,N,N,N,N
7/26/07,N,N,N,Y,N,N,N,N,N
7/26/07,N,N,N,N,N,N,Y,Y,N
7/26/07,N,N,N,Y,N,N,N,N,N
7/27/07,N,N,N,Y,N,N,N,N,N
8/2/07,N,N,N,Y,N,N,N,N,N
8/4/07,N,N,N,Y,N,N,N,Y,N
8/5/07,N,N,N,N,N,N,Y,Y,N
8/8/07,Y,N,N,N,N,Y,N,Y,N
8/8/07,N,N,N,Y,N,N,N,N,N
8/9/07,N,N,Y,N,N,N,N,N,N
8/9/07,N,N,Y,N,N,Y,N,N,N
8/10/07,N,N,Y,N,N,N,N,N,N
8/15/07,N,N,Y,N,N,N,N,N,N
8/17/07,N,N,Y,N,N,N,N,Y,N
8/17/07,Y,N,N,N,N,N,N,N,N
8/24/07,N,N,Y,N,N,N,N,Y,N
8/25/07,N,N,Y,N,N,Y,N,Y,N
8/25/07,N,N,N,Y,N,N,N,Y,Y
8/29/07,N,N,N,N,N,N,N,N,N
8/30/07,N,N,Y,N,N,N,N,N,N
9/1/07,Y,N,Y,N,N,Y,N,Y,N
9/2/07,N,N,N,Y,N,N,N,Y,Y
9/4/07,N,N,N,Y,N,N,N,Y,N
