Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2005-09-28,0,0,1,0,1,0,0,0,0,28,9,2005
2005-10-01,0,0,1,0,0,0,0,0,0,1,10,2005
2005-10-01,0,0,0,0,0,1,0,0,0,1,10,2005
2005-10-05,0,0,1,0,0,0,0,0,0,5,10,2005
2005-10-05,0,0,1,0,1,0,0,0,0,5,10,2005
2005-10-06,0,0,1,0,0,0,0,0,0,6,10,2005
2005-10-06,0,0,1,0,0,1,0,1,0,6,10,2005
2005-10-10,0,0,1,0,0,0,0,0,0,10,10,2005
2005-10-13,0,0,0,0,0,1,0,1,0,13,10,2005
2005-10-17,0,0,1,0,0,0,0,0,0,17,10,2005
2005-10-19,0,0,0,0,0,1,0,0,0,19,10,2005
2005-10-21,0,0,1,0,0,0,0,0,0,21,10,2005
2005-10-23,0,0,1,0,0,1,0,1,1,23,10,2005
2005-10-26,0,0,1,0,0,1,0,1,0,26,10,2005
2005-10-27,0,0,0,0,0,0,1,1,0,27,10,2005
2005-10-28,0,0,1,n,0,0,0,1,0,28,10,2005
2005-10-30,0,0,1,0,0,0,0,0,1,30,10,2005
2005-10-31,0,0,1,0,0,0,1,0,1,31,10,2005
2005-10-31,0,0,1,1,0,1,0,1,0,31,10,2005
2005-11-01,0,0,1,0,0,1,1,1,0,1,11,2005
2005-11-01,0,0,1,0,0,0,0,0,0,1,11,2005
2005-11-06,0,0,0,0,0,1,0,0,0,6,11,2005
2005-11-09,0,0,0,0,0,1,0,1,0,9,11,2005
2005-11-11,1,0,1,0,0,1,0,1,0,11,11,2005
2005-11-16,0,0,1,1,0,0,0,1,1,16,11,2005
2005-11-16,0,0,1,0,0,0,0,0,0,16,11,2005
2005-11-20,0,0,0,0,0,1,0,0,0,20,11,2005
2005-11-28,0,0,1,0,0,1,0,1,0,28,11,2005
2005-11-28,0,0,1,0,0,0,0,0,1,28,11,2005
2005-12-03,0,0,1,0,0,0,0,0,1,3,12,2005
2005-12-04,0,0,1,0,0,0,0,0,1,4,12,2005
2005-12-07,0,0,1,0,0,0,0,0,1,7,12,2005
2005-12-08,0,0,1,0,1,0,0,1,0,8,12,2005
2005-12-11,0,0,1,0,0,0,0,0,0,11,12,2005
2005-12-14,1,0,0,0,0,1,0,0,1,14,12,2005
2005-12-17,0,0,0,0,0,0,0,0,0,17,12,2005
2005-12-17,0,0,1,0,0,1,0,0,0,17,12,2005
